file,source_url,licence,downloaded,account
assets/logo/datagateways-mark.png,supplied by client,client-owned,2026-09-23,client
assets/media/hero-home.svg,generated by scripts/generate-hero-art.mjs,original work — no third-party licence,2026-09-23,none
assets/media/hero-about.svg,generated by scripts/generate-hero-art.mjs,original work — no third-party licence,2026-09-23,none
assets/media/hero-platform.svg,generated by scripts/generate-hero-art.mjs,original work — no third-party licence,2026-09-23,none
assets/media/hero-datanerve.svg,generated by scripts/generate-hero-art.mjs,original work — no third-party licence,2026-09-23,none
assets/media/hero-ainerve.svg,generated by scripts/generate-hero-art.mjs,original work — no third-party licence,2026-09-23,none
assets/media/hero-contact.svg,generated by scripts/generate-hero-art.mjs,original work — no third-party licence,2026-09-23,none
apps/web/public/fonts/space-grotesk-latin.woff2,https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400..700&display=swap,SIL Open Font License 1.1,2026-09-23,none
assets/media/hero-home.mp4,https://mixkit.co/free-stock-video/3d-animation-of-lines-and-luminous-points-rotating-31510/,Mixkit Free Stock Video License - commercial use permitted without attribution,2026-09-23,none
assets/media/hero-home-poster.jpg,https://mixkit.co/free-stock-video/3d-animation-of-lines-and-luminous-points-rotating-31510/,Mixkit Free Stock Video License - poster frame of the clip above,2026-09-23,none
assets/media/img-platform.jpg,https://www.pexels.com/photo/17323801/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-datanerve.jpg,https://www.pexels.com/photo/8108716/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-ainerve.jpg,https://www.pexels.com/photo/12707786/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-socmint.jpg,https://www.pexels.com/photo/8344064/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-integrations.jpg,https://www.pexels.com/photo/4682189/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-infrastructure.jpg,https://www.pexels.com/photo/17489155/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-audit.jpg,https://www.pexels.com/photo/10653941/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-services-data.jpg,https://www.pexels.com/photo/5203849/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-services-ai.jpg,https://www.pexels.com/photo/27277185/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-about.jpg,https://www.pexels.com/photo/10997877/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-partners.jpg,https://www.pexels.com/photo/16566211/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-governance.jpg,https://www.pexels.com/photo/6466141/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-dspm.jpg,https://www.pexels.com/photo/5050305/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-dlp.jpg,https://www.pexels.com/photo/12187128/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-article-1.jpg,https://www.pexels.com/photo/8108654/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-article-2.jpg,https://www.pexels.com/photo/14395795/,Pexels License - commercial use permitted without attribution,2026-09-23,none
assets/media/img-article-3.jpg,https://www.pexels.com/photo/5408005/,Pexels License - commercial use permitted without attribution,2026-09-23,none
